,param_name,value
0,σ1,3433295.3620340885
1,σ2,3076820.9139796067
2,I,1044411.5965567554
3,E,908300.3925892734
4,ρ3,208928.55535834646
5,τ2,197979.03643581911
6,ρ2,101824.5743692902
7,σ3,84063.84458612466
8,ρ1,45793.47660694664
9,τ1,21745.772108489917
10,τ4,14842.977312890176
11,Q_1,4846.060851479521
